sp_elev,sp,elevation,year,month,monthly_pet,monthly_tmed,monthly_prec
halepensis_medium,halepensis,medium,2002,9,83.6043678468569,18.536666584014892,6.300000011920929
halepensis_medium,halepensis,medium,2002,10,54.89112675262319,14.435483870967742,3.900000095367432
halepensis_medium,halepensis,medium,2002,11,30.30291319673944,10.386666711171468,68.80000199377537
halepensis_medium,halepensis,medium,2002,12,20.92847513654483,8.093548390173144,21.299999848008156
halepensis_medium,halepensis,medium,2003,1,10.503011304527105,4.858064572176626,1
halepensis_medium,halepensis,medium,2003,2,11.337177521209988,5.178571451987539,44.099999241530895
halepensis_medium,halepensis,medium,2003,3,30.80537042288523,9.174193551463466,12.400000005960464
halepensis_medium,halepensis,medium,2003,4,41.936439472121634,10.890000041325887,21.90000019222498
halepensis_medium,halepensis,medium,2003,5,78.00271329077525,15.6870967495826,1.0000000298023224
halepensis_medium,halepensis,medium,2003,6,130.71344558612958,22.57666670481364,6.300000011920929
halepensis_medium,halepensis,medium,2003,7,154.25955523014994,25.080645099762947,0
halepensis_medium,halepensis,medium,2003,8,136.71879351470383,24.070967766546435,0.5
halepensis_medium,halepensis,medium,2003,9,86.56535488336105,19.003333218892415,3.1999999582767487
halepensis_medium,halepensis,medium,2003,10,47.1915517564846,12.95806457150367,53.699999928474426
halepensis_medium,halepensis,medium,2003,11,25.207679337358556,9.106666723887123,30.60000029206276
halepensis_medium,halepensis,medium,2003,12,15.429294083774584,6.509677433198498,24.299999594688416
halepensis_medium,halepensis,medium,2004,1,20.614002236238345,7.864516119803152,0.30000001192092896
halepensis_medium,halepensis,medium,2004,2,18.24812956723454,7.2758620278588655,38.50000009685755
halepensis_medium,halepensis,medium,2004,3,25.8053637442803,8.083870974279218,79.69999871402979
halepensis_medium,halepensis,medium,2004,4,36.07751977754605,9.779999955495198,86.60000095516443
halepensis_medium,halepensis,medium,2004,5,51.302470763720905,11.629032258064516,37.30000105500221
halepensis_medium,halepensis,medium,2004,6,114.74478924300956,20.570000076293944,2.0000000596046448
halepensis_medium,halepensis,medium,2004,7,135.17522586878812,22.822580583633915,1.5999999791383743
halepensis_medium,halepensis,medium,2004,8,130.07206548670297,23.229032085787864,1.0000000074505806
halepensis_medium,halepensis,medium,2004,9,95.01020792207188,20.309999847412108,0.9000000283122063
halepensis_medium,halepensis,medium,2004,10,59.353926555547126,15.264516215170584,0
halepensis_medium,halepensis,medium,2004,11,24.577090912457816,8.943333371480305,23.399999618530273
halepensis_medium,halepensis,medium,2004,12,12.407373068788734,5.570967779524865,51.89999981224537
halepensis_medium,halepensis,medium,2005,1,11.763381318865354,5.267741939713878,0.30000001192092896
halepensis_medium,halepensis,medium,2005,2,7.2157929379590415,3.75000001969082,53.099998749792576
halepensis_medium,halepensis,medium,2005,3,26.558001123996323,8.251612926683118,29.89999959617853
halepensis_medium,halepensis,medium,2005,4,48.13280872506716,12.016666682561238,0.30000001192092896
halepensis_medium,halepensis,medium,2005,5,85.94955195519876,16.812903373472153,0.30000001192092896
halepensis_medium,halepensis,medium,2005,6,119.0096349162661,21.113333384195965,0
halepensis_medium,halepensis,medium,2005,7,142.8582877316665,23.74193554539834,0
halepensis_medium,halepensis,medium,2005,8,126.06965585946338,22.71612924145114,2.4000000953674316
halepensis_medium,halepensis,medium,2005,9,79.44668111393685,17.873333358764647,5.90000007301569
halepensis_medium,halepensis,medium,2005,10,55.97587688635334,14.63870959128103,5.999999888241291
halepensis_medium,halepensis,medium,2005,11,19.11470841558241,7.473333263397217,8.200000114738941
halepensis_medium,halepensis,medium,2005,12,13.31153645772622,5.858064528434507,0.8999999910593033
halepensis_medium,halepensis,medium,2006,1,7.615729663270204,3.8612903125824465,55.0000002682209
halepensis_medium,halepensis,medium,2006,2,11.424830629437263,5.207142816058227,18.000000052154064
halepensis_medium,halepensis,medium,2006,3,34.739808235795344,9.996774165861067,3.799999915063381
halepensis_medium,halepensis,medium,2006,4,53.83144323686628,13.016666634877522,43.69999960809946
halepensis_medium,halepensis,medium,2006,5,85.81108229004211,16.79354849169331,36.40000110119581
halepensis_medium,halepensis,medium,2006,6,106.91098069215413,19.556666628519693,0.10000000149011612
halepensis_medium,halepensis,medium,2006,7,147.85500345011198,24.33225828601468,3.200000047683716
halepensis_medium,halepensis,medium,2006,8,122.82394458990038,22.29677403357721,0
halepensis_medium,halepensis,medium,2006,9,87.20366739882115,19.10333315531413,38.599999740719795
halepensis_medium,halepensis,medium,2006,10,63.109202096181875,15.94838708446872,0.10000000149011612
halepensis_medium,halepensis,medium,2006,11,31.23260974912987,10.61333335240682,59.400000125169754
halepensis_medium,halepensis,medium,2006,12,12.337033841780237,5.548387073701428,7.799999907612801
halepensis_medium,halepensis,medium,2007,1,18.52698647980987,7.287096792651761,14.59999978542328
halepensis_medium,halepensis,medium,2007,2,21.467761740835737,8.171428578240532,1.4000000357627869
halepensis_medium,halepensis,medium,2007,3,27.126513396587335,8.377419271776754,3.3000001087784767
halepensis_medium,halepensis,medium,2007,4,32.281725458832206,9.03333334128062,40.6000005081296
halepensis_medium,halepensis,medium,2007,5,75.14396939302262,15.274193579150785,10.99999987334013
halepensis_medium,halepensis,medium,2007,6,107.29379094963932,19.60666675567627,0
halepensis_medium,halepensis,medium,2007,7,140.0676216127684,23.40967756702054,0
halepensis_medium,halepensis,medium,2007,8,125.66888055126834,22.66451626439248,1.7000000029802322
halepensis_medium,halepensis,medium,2007,9,80.2151247032982,17.996666781107585,39.499998427927494
halepensis_medium,halepensis,medium,2007,10,48.52891824751534,13.219354752571352,31.099999636411667
halepensis_medium,halepensis,medium,2007,11,25.634921379939563,9.216666682561238,0.9999999776482582
halepensis_medium,halepensis,medium,2007,12,15.686764893862795,6.5870967641953495,27.60000056028366
halepensis_medium,halepensis,medium,2008,1,19.034077021395458,7.429032264217254,8.300000071525574
halepensis_medium,halepensis,medium,2008,2,18.296571948676966,7.289655192144986,35.000000193715096
halepensis_medium,halepensis,medium,2008,3,34.99113372990701,10.048387069855966,5.100000098347664
halepensis_medium,halepensis,medium,2008,4,47.94601679345795,11.983333349227903,15.60000028461218
halepensis_medium,halepensis,medium,2008,5,64.10643098129518,13.635483772523942,41.09999953210354
halepensis_medium,halepensis,medium,2008,6,105.73947478745733,19.403333473205567,10.900000013411043
