sp,elevation,year,temp_media_anual
pinaster,medium,1975,10.285655413132163
pinaster,medium,1976,9.619321146823614
pinaster,medium,1977,10.153800595343434
pinaster,medium,1978,10.20935293038133
pinaster,medium,1979,10.566534195138075
pinaster,medium,1980,10.430519748543771
pinaster,medium,1981,11.73040513094606
pinaster,medium,1982,11.064301061962912
pinaster,medium,1983,12.275971602812396
pinaster,medium,1984,10.589741077758266
pinaster,medium,1985,12.074780456766037
pinaster,medium,1986,11.622398870655884
pinaster,medium,1987,11.889676782459066
pinaster,medium,1988,11.539491114250652
pinaster,medium,1989,11.861919488628141
pinaster,medium,1990,11.763559274355792
pinaster,medium,1991,11.402162088494686
pinaster,medium,1992,11.066325239125353
pinaster,medium,1993,10.747894270164169
pinaster,medium,1994,12.6456989226116
pinaster,medium,1995,12.365590132543883
pinaster,medium,1996,10.877885006496756
pinaster,medium,1997,11.704272271819981
pinaster,medium,1998,12.140375056724444
pinaster,medium,1999,12.317734249414475
pinaster,medium,2000,12.243234452117933
pinaster,medium,2001,12.251363919459616
pinaster,medium,2002,12.06718829687412
pinaster,medium,2003,11.656829212015973
pinaster,medium,2004,11.557069594022694
pinaster,medium,2005,11.612973623128902
pinaster,medium,2006,11.784073201475186
pinaster,medium,2007,11.279623675354195
pinaster,medium,2008,11.054415069238832
pinaster,medium,2009,12.19787443300878
pinaster,medium,2010,11.404801589145844
pinaster,medium,2011,11.721894517307124
pinaster,medium,2012,11.984666636296307
pinaster,medium,2013,11.002237577408865
pinaster,medium,2014,11.953446618137004
pinaster,medium,2015,12.412730425884408
pinaster,medium,2016,11.934458319622433
pinaster,medium,2017,12.701397835873582
pinaster,medium,2018,11.196075920556913
pinaster,medium,2019,12.222279795953366
pinaster,medium,2020,12.403755753467918
pinaster,medium,2021,12.310023014538498
pinaster,medium,2022,13.74055301901468
sylvestris,high,1971,7.1254627438862
sylvestris,high,1972,6.983754489210482
sylvestris,high,1973,8.410947290944252
sylvestris,high,1974,8.784251153242192
sylvestris,high,1975,7.68793204163606
sylvestris,high,1976,6.698380599374362
sylvestris,high,1977,7.698387713330243
sylvestris,high,1978,7.4293990194383595
sylvestris,high,1979,7.642227362722723
sylvestris,high,1980,7.624568047985884
sylvestris,high,1981,9.077651719356512
sylvestris,high,1982,8.375185620194827
sylvestris,high,1983,9.964701107072445
sylvestris,high,1984,7.991667613434761
sylvestris,high,1985,9.802484633706184
sylvestris,high,1986,9.382572319528544
sylvestris,high,1987,9.509502059784163
sylvestris,high,1988,9.082688482387788
sylvestris,high,1989,9.124823980202256
sylvestris,high,1990,9.070974148795985
sylvestris,high,1991,9.025067203096269
sylvestris,high,1992,8.833759112217562
sylvestris,high,1993,8.394118018530802
sylvestris,high,1994,10.756214152505413
sylvestris,high,1995,10.15692269879556
sylvestris,high,1996,8.202129529276569
sylvestris,high,1997,9.305414109415562
sylvestris,high,1998,10.205490292245747
sylvestris,high,1999,10.44385048178379
sylvestris,high,2000,10.036097200316778
sylvestris,high,2001,10.403817847480209
sylvestris,high,2002,10.346385682097464
sylvestris,high,2003,9.428958031480786
sylvestris,high,2004,9.050484199681128
sylvestris,high,2005,9.20754158746888
sylvestris,high,2006,9.288867772657031
sylvestris,high,2007,8.983947782824222
sylvestris,high,2008,8.3920473384779
sylvestris,high,2009,9.816253173282238
sylvestris,high,2010,8.801879150854615
sylvestris,high,2011,8.944369568643378
sylvestris,high,2012,9.426971949828864
sylvestris,high,2013,8.407901331027078
sylvestris,high,2014,9.15683501351518
sylvestris,high,2015,9.872911550905851
sylvestris,high,2016,9.220841367218835
sylvestris,high,2017,10.06176203766006
sylvestris,high,2018,8.129880337918886
sylvestris,high,2019,9.400476191976358
sylvestris,high,2020,10.229583188466808
sylvestris,high,2021,9.557831537654348
sylvestris,high,2022,11.632957991766608
sylvestris,low,1971,9.154002172168758
sylvestris,low,1972,8.984703692672248
sylvestris,low,1973,10.220798786057143
sylvestris,low,1974,10.554511016436662
sylvestris,low,1975,9.657126867367527
sylvestris,low,1976,8.861550181044814
sylvestris,low,1977,9.753964442949545
sylvestris,low,1978,9.585125435081668
sylvestris,low,1979,9.693292345437357
sylvestris,low,1980,9.610520041304726
sylvestris,low,1981,10.838000535025156
sylvestris,low,1982,10.265958734648326
sylvestris,low,1983,11.614007322849583
sylvestris,low,1984,9.873428795525825
sylvestris,low,1985,11.504328586763133
sylvestris,low,1986,11.121076541727659
sylvestris,low,1987,11.272414229484728
sylvestris,low,1988,10.986060440701024
sylvestris,low,1989,11.089456587150995
sylvestris,low,1990,11.029058496624277
sylvestris,low,1991,10.84629032352288
sylvestris,low,1992,10.672262088801588
sylvestris,low,1993,10.268992595323464
sylvestris,low,1994,12.375253427485495
sylvestris,low,1995,11.94209998068798
sylvestris,low,1996,10.087022911228571
sylvestris,low,1997,11.143095217889133
sylvestris,low,1998,11.763218098548391
sylvestris,low,1999,11.987137107413854
sylvestris,low,2000,11.663555493010842
sylvestris,low,2001,11.994930875969262
sylvestris,low,2002,11.902818112316147
sylvestris,low,2003,11.213081120453772
sylvestris,low,2004,10.828738124720074
sylvestris,low,2005,10.928540049705996
sylvestris,low,2006,11.12805877586634
sylvestris,low,2007,10.847167171935679
sylvestris,low,2008,10.352243816646162
sylvestris,low,2009,11.564526372389459
sylvestris,low,2010,10.65089413435816
sylvestris,low,2011,10.903894022681367
sylvestris,low,2012,11.186441106129653
sylvestris,low,2013,10.313307088657764
sylvestris,low,2014,11.106754344573202
sylvestris,low,2015,11.68765550730602
